Station,cruise,suggested_samples,max_depth,site_samples,percent_replaceable,mean_removable
1,ECOA 2022,5,95.464,8,0.375,3
1,GOMECC 2021,6,169,8,0.25,2
1,WCOA 2021,11,1012.5,15,0.26666666666666666,4
2,ECOA 2022,1,128.736,6,0.8333333333333334,5
2,GOMECC 2021,3,508,8,0.625,5
2,WCOA 2021,14,886.4,18,0.2222222222222222,4
3,ECOA 2022,5,81.615,6,0.16666666666666666,1
3,GOMECC 2021,4,119,6,0.3333333333333333,2
3,WCOA 2021,7,205.2,11,0.36363636363636365,4
4,ECOA 2022,3,99.902,8,0.625,5
4,GOMECC 2021,5,149,9,0.4444444444444444,4
4,WCOA 2021,2,35.5,4,0.5,2
5,ECOA 2022,5,97.645,6,0.16666666666666666,1
5,GOMECC 2021,4,119,8,0.5,4
5,WCOA 2021,8,150.8,13,0.38461538461538464,5
6,ECOA 2022,5,80.894,5,0,0
6,GOMECC 2021,4,39,4,0,0
6,WCOA 2021,6,120.9,10,0.4,4
7,ECOA 2022,3,48.483,4,0.25,1
7,WCOA 2021,14,2503.6,16,0.125,2
8,ECOA 2022,3,85.336,6,0.5,3
8,GOMECC 2021,5,158,7,0.2857142857142857,2
8,WCOA 2021,13,1290,17,0.23529411764705882,4
9,ECOA 2022,5,95.071,6,0.16666666666666666,1
9,GOMECC 2021,8,3252,10,0.2,2
9,WCOA 2021,9,592.5,15,0.4,6
10,ECOA 2022,4,95.464,6,0.3333333333333333,2
10,GOMECC 2021,7,3287,7,0,0
10,WCOA 2021,4,114.6,10,0.6,6
11,ECOA 2022,0,190.881,1,1,1
11,GOMECC 2021,5,3314,7,0.2857142857142857,2
11,WCOA 2021,5,57.1,7,0.2857142857142857,2
12,ECOA 2022,4,55.819,5,0.2,1
12,GOMECC 2021,8,3323,9,0.1111111111111111,1
12,WCOA 2021,7,157.6,11,0.36363636363636365,4
13,ECOA 2022,3,30.319,4,0.25,1
13,GOMECC 2021,5,199,7,0.2857142857142857,2
13,WCOA 2021,2,133.4,11,0.8181818181818182,9
14,ECOA 2022,4,85.576,7,0.42857142857142855,3
14,GOMECC 2021,5,124,11,0.5454545454545454,6
14,WCOA 2021,3,102.9,10,0.7,7
15,ECOA 2022,3,95.976,6,0.5,3
15,GOMECC 2021,3,59,4,0.25,1
15,WCOA 2021,5,89.3,10,0.5,5
16,ECOA 2022,4,142.226,7,0.42857142857142855,3
16,WCOA 2021,4,44.3,5,0.2,1
17,ECOA 2022,4,120.853,6,0.3333333333333333,2
17,GOMECC 2021,1,13,1,0,0
17,WCOA 2021,9,172,13,0.3076923076923077,4
18,ECOA 2022,0,200.632,8,1,8
18,WCOA 2021,8,109.1,11,0.2727272727272727,3
19,ECOA 2022,6,214.099,8,0.25,2
19,WCOA 2021,2,68,9,0.7777777777777778,7
20,ECOA 2022,6,281.57,9,0.3333333333333333,3
20,GOMECC 2021,1,14,1,0,0
20,WCOA 2021,6,252.4,14,0.5714285714285714,8
21,ECOA 2022,6,204.188,8,0.25,2
21,GOMECC 2021,1,49,3,0.6666666666666666,2
21,WCOA 2021,11,497.3,15,0.26666666666666666,4
22,ECOA 2022,3,40.773,5,0.4,2
22,GOMECC 2021,3,177,9,0.6666666666666666,6
22,WCOA 2021,3,77.8,8,0.625,5
23,ECOA 2022,4,93.255,7,0.42857142857142855,3
23,GOMECC 2021,7,247,9,0.2222222222222222,2
23,WCOA 2021,4,26,5,0.2,1
24,ECOA 2022,4,134.107,8,0.5,4
24,GOMECC 2021,7,248,10,0.3,3
24,WCOA 2021,14,1246.9,17,0.17647058823529413,3
25,ECOA 2022,7,125.99,8,0.125,1
25,GOMECC 2021,6,359,9,0.3333333333333333,3
25,WCOA 2021,3,13.9,4,0.25,1
26,ECOA 2022,3,62.226,6,0.5,3
26,GOMECC 2021,4,159,7,0.42857142857142855,3
26,WCOA 2021,13,1302.8,17,0.23529411764705882,4
27,ECOA 2022,6,257.045,8,0.25,2
27,GOMECC 2021,4,179,7,0.42857142857142855,3
27,WCOA 2021,5,12.7,6,0.16666666666666666,1
28,ECOA 2022,1,77.623,3,0.6666666666666666,2
28,GOMECC 2021,6,3001,8,0.25,2
28,WCOA 2021,4,14.2,4,0,0
29,GOMECC 2021,5,3068,8,0.375,3
29,WCOA 2021,3,10.7,5,0.4,2
30,ECOA 2022,2,976.524,6,0.6666666666666666,4
30,GOMECC 2021,4,139,6,0.3333333333333333,2
30,WCOA 2021,3,19.8,5,0.4,2
31,ECOA 2022,6,2760.385,15,0.6,9
31,WCOA 2021,4,37.6,6,0.3333333333333333,2
32,ECOA 2022,8,812.343,12,0.3333333333333333,4
32,GOMECC 2021,6,201,11,0.45454545454545453,5
32,WCOA 2021,7,88,9,0.2222222222222222,2
33,ECOA 2022,3,57.398,5,0.4,2
33,GOMECC 2021,6,400,9,0.3333333333333333,3
33,WCOA 2021,6,132.2,7,0.14285714285714285,1
34,ECOA 2022,7,205.147,7,0,0
34,GOMECC 2021,4,219,10,0.6,6
34,WCOA 2021,9,348.4,13,0.3076923076923077,4
35,ECOA 2022,6,93.053,7,0.14285714285714285,1
35,GOMECC 2021,4,2275,7,0.42857142857142855,3
35,WCOA 2021,17,1364.8,20,0.15,3
36,ECOA 2022,7,134.179,8,0.125,1
36,GOMECC 2021,6,2245,8,0.25,2
36,WCOA 2021,16,2507,20,0.2,4
37,ECOA 2022,7,115.037,7,0,0
37,GOMECC 2021,7,2403,9,0.2222222222222222,2
37,WCOA 2021,14,1566.8,17,0.17647058823529413,3
38,ECOA 2022,6,79.97,6,0,0
38,WCOA 2021,17,1091.3,18,0.05555555555555555,1
39,ECOA 2022,10,147.585,10,0,0
39,WCOA 2021,12,394.4,15,0.2,3
40,ECOA 2022,3,19.997,3,0,0
40,GOMECC 2021,4,149,8,0.5,4
40,WCOA 2021,9,130.9,11,0.18181818181818182,2
41,ECOA 2022,6,67.538,6,0,0
41,WCOA 2021,7,83.7,9,0.2222222222222222,2
42,ECOA 2022,6,109.18,8,0.25,2
42,GOMECC 2021,2,119,6,0.6666666666666666,4
42,WCOA 2021,4,40.7,6,0.3333333333333333,2
43,ECOA 2022,6,126.074,7,0.14285714285714285,1
43,GOMECC 2021,4,90,6,0.3333333333333333,2
43,WCOA 2021,4,17.6,4,0,0
44,ECOA 2022,6,92.599,7,0.14285714285714285,1
44,GOMECC 2021,2,29,2,0,0
44,WCOA 2021,7,68.9,8,0.125,1
45,ECOA 2022,3,78.884,5,0.4,2
45,GOMECC 2021,0,14,1,1,1
45,WCOA 2021,16,2892.8,19,0.15789473684210525,3
46,ECOA 2022,7,219.102,9,0.2222222222222222,2
46,WCOA 2021,13,717.1,17,0.23529411764705882,4
47,ECOA 2022,9,213.246,10,0.1,1
47,WCOA 2021,12,428.3,15,0.2,3
48,ECOA 2022,3,90.551,5,0.4,2
48,GOMECC 2021,1,12,1,0,0
48,WCOA 2021,11,248.8,14,0.21428571428571427,3
49,ECOA 2022,9,1405.867,11,0.18181818181818182,2
49,WCOA 2021,10,285.2,14,0.2857142857142857,4
50,ECOA 2022,3,115.453,5,0.4,2
50,GOMECC 2021,3,69,6,0.5,3
50,WCOA 2021,6,71,8,0.25,2
51,ECOA 2022,8,80.576,8,0,0
51,GOMECC 2021,3,49,5,0.4,2
51,WCOA 2021,7,47.9,8,0.125,1
52,ECOA 2022,0,202.499,12,1,12
52,WCOA 2021,3,24.9,5,0.4,2
53,ECOA 2022,0,294.895,6,1,6
53,WCOA 2021,18,1434.5,19,0.05263157894736842,1
54,ECOA 2022,8,154.554,10,0.2,2
54,GOMECC 2021,5,399,10,0.5,5
54,WCOA 2021,16,933.2,18,0.1111111111111111,2
55,ECOA 2022,6,183.7,7,0.14285714285714285,1
55,GOMECC 2021,5,623,8,0.375,3
55,WCOA 2021,8,101,10,0.2,2
56,ECOA 2022,3,187.026,7,0.5714285714285714,4
56,WCOA 2021,10,145.4,14,0.2857142857142857,4
57,ECOA 2022,3,320.347,7,0.5714285714285714,4
57,WCOA 2021,9,109.3,10,0.1,1
58,ECOA 2022,4,56.442,6,0.3333333333333333,2
58,GOMECC 2021,3,36,4,0.25,1
58,WCOA 2021,5,45.4,6,0.16666666666666666,1
59,ECOA 2022,0,58.428,6,1,6
59,GOMECC 2021,2,22,2,0,0
59,WCOA 2021,8,81,9,0.1111111111111111,1
60,ECOA 2022,0,73.046,7,1,7
60,WCOA 2021,17,2924.3,19,0.10526315789473684,2
61,ECOA 2022,2,80.975,5,0.6,3
61,GOMECC 2021,2,35,4,0.5,2
61,WCOA 2021,17,1186.4,19,0.10526315789473684,2
62,ECOA 2022,4,111.61,7,0.42857142857142855,3
62,GOMECC 2021,2,29,2,0,0
62,WCOA 2021,17,693.7,17,0,0
63,ECOA 2022,2,424.338,8,0.75,6
63,WCOA 2021,13,430.6,16,0.1875,3
64,ECOA 2022,0,1034.567,9,1,9
64,GOMECC 2021,4,53,5,0.2,1
64,WCOA 2021,10,170.3,13,0.23076923076923078,3
65,ECOA 2022,6,1967.877,10,0.4,4
65,GOMECC 2021,5,150,9,0.4444444444444444,4
65,WCOA 2021,6,78.9,9,0.3333333333333333,3
66,ECOA 2022,9,2296.065,17,0.47058823529411764,8
66,GOMECC 2021,6,859,9,0.3333333333333333,3
66,WCOA 2021,4,36.5,5,0.2,1
67,ECOA 2022,0,480.496,11,1,11
67,GOMECC 2021,5,1126,9,0.4444444444444444,4
67,WCOA 2021,4,26,5,0.2,1
68,ECOA 2022,5,198.428,9,0.4444444444444444,4
68,GOMECC 2021,0,120,2,1,2
68,WCOA 2021,3,25.4,5,0.4,2
69,ECOA 2022,2,440.55,7,0.7142857142857143,5
69,GOMECC 2021,5,1959,8,0.375,3
69,WCOA 2021,18,2001.2,20,0.1,2
70,ECOA 2022,10,967.412,11,0.09090909090909091,1
70,GOMECC 2021,7,3055,10,0.3,3
70,WCOA 2021,15,1489,19,0.21052631578947367,4
71,ECOA 2022,0,44.701,8,1,8
71,GOMECC 2021,7,3034,9,0.2222222222222222,2
71,WCOA 2021,15,934.2,17,0.11764705882352941,2
72,ECOA 2022,3,25.745,4,0.25,1
72,GOMECC 2021,7,925,8,0.125,1
72,WCOA 2021,6,86.5,9,0.3333333333333333,3
73,ECOA 2022,5,198.071,12,0.5833333333333334,7
73,GOMECC 2021,4,200,7,0.42857142857142855,3
73,WCOA 2021,5,46.3,6,0.16666666666666666,1
74,ECOA 2022,8,250.171,9,0.1111111111111111,1
74,GOMECC 2021,7,1200,8,0.125,1
74,WCOA 2021,7,119,11,0.36363636363636365,4
75,ECOA 2022,0,247.14,10,1,10
75,GOMECC 2021,2,10,2,0,0
75,WCOA 2021,10,313.5,14,0.2857142857142857,4
76,ECOA 2022,4,54.859,6,0.3333333333333333,2
76,WCOA 2021,18,2070.3,20,0.1,2
77,ECOA 2022,4,129.992,7,0.42857142857142855,3
77,GOMECC 2021,3,30,4,0.25,1
77,WCOA 2021,7,248.7,13,0.46153846153846156,6
78,ECOA 2022,5,98.334,8,0.375,3
78,GOMECC 2021,4,45,5,0.2,1
78,WCOA 2021,7,90.6,10,0.3,3
79,ECOA 2022,4,50.282,6,0.3333333333333333,2
79,GOMECC 2021,6,240,9,0.3333333333333333,3
79,WCOA 2021,15,1150.1,19,0.21052631578947367,4
80,ECOA 2022,4,46.012,6,0.3333333333333333,2
80,GOMECC 2021,5,2037,7,0.2857142857142857,2
80,WCOA 2021,3,68.1,9,0.6666666666666666,6
81,ECOA 2022,4,70.342,7,0.42857142857142855,3
81,WCOA 2021,7,68.3,8,0.125,1
82,ECOA 2022,0,98.8,5,1,5
82,GOMECC 2021,7,3019,8,0.125,1
82,WCOA 2021,4,29.1,5,0.2,1
83,ECOA 2022,3,207.33,8,0.625,5
83,GOMECC 2021,8,3445,10,0.2,2
83,WCOA 2021,3,44.8,6,0.5,3
84,ECOA 2022,0,53.521,4,1,4
84,GOMECC 2021,7,3235,9,0.2222222222222222,2
84,WCOA 2021,2,85.5,9,0.7777777777777778,7
85,ECOA 2022,0,70.001,4,1,4
85,GOMECC 2021,7,1882,10,0.3,3
85,WCOA 2021,18,2830.3,22,0.18181818181818182,4
86,ECOA 2022,1,3731.336,1,0,0
86,GOMECC 2021,4,1486,6,0.3333333333333333,2
86,WCOA 2021,3,18.5,5,0.4,2
87,ECOA 2022,7,3250.166,14,0.5,7
87,WCOA 2021,3,40.3,7,0.5714285714285714,4
88,ECOA 2022,0,2800.323,13,1,13
88,GOMECC 2021,5,722,9,0.4444444444444444,4
88,WCOA 2021,2,18.5,4,0.5,2
89,ECOA 2022,0,2508.46,10,1,10
89,GOMECC 2021,4,54,5,0.2,1
89,WCOA 2021,1,23.6,4,0.75,3
90,ECOA 2022,0,2061.687,3,1,3
90,GOMECC 2021,8,3290,11,0.2727272727272727,3
90,WCOA 2021,2,31.8,5,0.6,3
91,ECOA 2022,3,440.853,7,0.5714285714285714,4
91,GOMECC 2021,6,90,9,0.3333333333333333,3
91,WCOA 2021,2,18.4,4,0.5,2
92,ECOA 2022,4,114.182,7,0.42857142857142855,3
92,WCOA 2021,3,12.9,3,0,0
93,ECOA 2022,4,57.439,6,0.3333333333333333,2
93,WCOA 2021,1,51.1,5,0.8,4
94,ECOA 2022,3,40.583,5,0.4,2
94,GOMECC 2021,1,10,1,0,0
94,WCOA 2021,7,80.2,8,0.125,1
95,ECOA 2022,3,32.632,5,0.4,2
95,GOMECC 2021,3,49,5,0.4,2
95,WCOA 2021,18,3942.6,23,0.21739130434782608,5
96,ECOA 2022,2,12.686,2,0,0
96,GOMECC 2021,3,133,9,0.6666666666666666,6
96,WCOA 2021,19,3001.9,22,0.13636363636363635,3
97,ECOA 2022,3,36.3,4,0.25,1
97,GOMECC 2021,7,200,10,0.3,3
97,WCOA 2021,16,2987.9,19,0.15789473684210525,3
98,ECOA 2022,3,33.416,4,0.25,1
98,WCOA 2021,18,2783,20,0.1,2
99,ECOA 2022,4,34.843,5,0.2,1
99,GOMECC 2021,1,9,1,0,0
99,WCOA 2021,6,100.5,11,0.45454545454545453,5
100,ECOA 2022,0,42.643,4,1,4
100,GOMECC 2021,3,40,4,0.25,1
100,WCOA 2021,6,278.8,14,0.5714285714285714,8
101,ECOA 2022,0,13.072,2,1,2
101,GOMECC 2021,4,54,5,0.2,1
101,WCOA 2021,2,32.1,6,0.6666666666666666,4
102,GOMECC 2021,6,125,9,0.3333333333333333,3
102,WCOA 2021,4,135.1,11,0.6363636363636364,7
103,ECOA 2022,1,10.026,1,0,0
103,GOMECC 2021,8,522,12,0.3333333333333333,4
103,WCOA 2021,7,111.8,12,0.4166666666666667,5
104,ECOA 2022,2,13.341,2,0,0
104,GOMECC 2021,7,3468,9,0.2222222222222222,2
104,WCOA 2021,1,78.2,9,0.8888888888888888,8
105,ECOA 2022,1,15.832,2,0.5,1
105,GOMECC 2021,5,3322,9,0.4444444444444444,4
105,WCOA 2021,14,990.9,18,0.2222222222222222,4
106,ECOA 2022,0,21.971,1,1,1
106,GOMECC 2021,8,2600,10,0.2,2
106,WCOA 2021,15,2492.5,19,0.21052631578947367,4
107,ECOA 2022,2,29.573,3,0.3333333333333333,1
107,GOMECC 2021,8,1231,14,0.42857142857142855,6
107,WCOA 2021,17,4111.7,20,0.15,3
108,WCOA 2021,19,4202.8,24,0.20833333333333334,5
109,ECOA 2022,2,21.03,2,0,0
109,GOMECC 2021,3,150,7,0.5714285714285714,4
109,WCOA 2021,14,4038.5,18,0.2222222222222222,4
110,ECOA 2022,2,17.053,3,0.3333333333333333,1
110,GOMECC 2021,7,311,10,0.3,3
110,WCOA 2021,19,3674.6,22,0.13636363636363635,3
111,ECOA 2022,4,37.485,4,0,0
111,GOMECC 2021,4,170,9,0.5555555555555556,5
111,WCOA 2021,16,2205.5,19,0.15789473684210525,3
112,ECOA 2022,4,42.096,5,0.2,1
112,GOMECC 2021,5,108,9,0.4444444444444444,4
112,WCOA 2021,14,1016.6,17,0.17647058823529413,3
113,ECOA 2022,3,56.46,6,0.5,3
113,GOMECC 2021,1,70,6,0.8333333333333334,5
113,WCOA 2021,14,825.5,16,0.125,2
114,ECOA 2022,0,72.32,6,1,6
114,GOMECC 2021,1,24,2,0.5,1
114,WCOA 2021,7,66.7,9,0.2222222222222222,2
115,ECOA 2022,2,87.272,5,0.6,3
115,GOMECC 2021,1,10,1,0,0
115,WCOA 2021,13,455.1,15,0.13333333333333333,2
116,ECOA 2022,2,15.554,4,0.5,2
116,GOMECC 2021,1,3,1,0,0
116,WCOA 2021,11,250.1,14,0.21428571428571427,3
117,ECOA 2022,0,17.602,2,1,2
117,GOMECC 2021,3,40,4,0.25,1
117,WCOA 2021,5,22.3,5,0,0
118,ECOA 2022,1,26.274,2,0.5,1
118,GOMECC 2021,5,1054,9,0.4444444444444444,4
118,WCOA 2021,10,250.1,11,0.09090909090909091,1
119,ECOA 2022,3,31.367,3,0,0
119,WCOA 2021,15,475.3,16,0.0625,1
120,ECOA 2022,6,41.591,6,0,0
120,GOMECC 2021,5,95,7,0.2857142857142857,2
120,WCOA 2021,17,570.5,19,0.10526315789473684,2
121,ECOA 2022,5,66.147,7,0.2857142857142857,2
121,GOMECC 2021,6,200,10,0.4,4
121,WCOA 2021,8,79.3,9,0.1111111111111111,1
122,ECOA 2022,0,30.681,4,1,4
122,GOMECC 2021,5,159,9,0.4444444444444444,4
122,WCOA 2021,13,345.5,15,0.13333333333333333,2
123,ECOA 2022,4,58.984,5,0.2,1
123,GOMECC 2021,5,100,8,0.375,3
123,WCOA 2021,6,82.6,7,0.14285714285714285,1
124,ECOA 2022,18,77.654,24,0.25,6
124,GOMECC 2021,2,20,2,0,0
124,WCOA 2021,6,53.8,7,0.14285714285714285,1
125,ECOA 2022,3,121.482,4,0.25,1
125,WCOA 2021,5,31.8,6,0.16666666666666666,1
126,ECOA 2022,10,144.751,16,0.375,6
126,WCOA 2021,14,607.9,16,0.125,2
127,ECOA 2022,29,1477.684,37,0.21621621621621623,8
127,GOMECC 2021,1,3,1,0,0
127,WCOA 2021,13,317.9,15,0.13333333333333333,2
128,ECOA 2022,7,2463.741,10,0.3,3
128,WCOA 2021,18,1177.6,20,0.1,2
129,ECOA 2022,2,17.781,4,0.5,2
129,GOMECC 2021,1,10,1,0,0
129,WCOA 2021,17,827.3,18,0.05555555555555555,1
130,ECOA 2022,0,35.091,1,1,1
130,GOMECC 2021,2,20,2,0,0
130,WCOA 2021,19,1323.7,20,0.05,1
131,ECOA 2022,5,36.511,5,0,0
131,GOMECC 2021,2,34,3,0.3333333333333333,1
131,WCOA 2021,16,889.6,16,0,0
132,ECOA 2022,4,44.586,5,0.2,1
132,GOMECC 2021,2,20,2,0,0
132,WCOA 2021,18,3862.3,23,0.21739130434782608,5
133,ECOA 2022,4,47.223,5,0.2,1
133,GOMECC 2021,3,40,4,0.25,1
133,WCOA 2021,17,4061.8,19,0.10526315789473684,2
134,ECOA 2022,4,61.155,5,0.2,1
135,ECOA 2022,5,2566.865,10,0.5,5
135,GOMECC 2021,4,88,8,0.5,4
136,ECOA 2022,6,2038.347,9,0.3333333333333333,3
136,GOMECC 2021,5,128,10,0.5,5
137,ECOA 2022,3,1825.563,8,0.625,5
137,GOMECC 2021,6,110,9,0.3333333333333333,3
138,ECOA 2022,2,1230.586,7,0.7142857142857143,5
138,GOMECC 2021,5,155,9,0.4444444444444444,4
139,ECOA 2022,6,864.764,9,0.3333333333333333,3
139,GOMECC 2021,6,210,9,0.3333333333333333,3
140,ECOA 2022,3,58.308,4,0.25,1
140,GOMECC 2021,6,900,12,0.5,6
141,ECOA 2022,4,61.91,5,0.2,1
141,GOMECC 2021,4,3050,7,0.42857142857142855,3
142,ECOA 2022,2,45.071,4,0.5,2
143,ECOA 2022,3,31.947,4,0.25,1
144,ECOA 2022,4,33.106,5,0.2,1
145,ECOA 2022,0,18.948,3,1,3
146,ECOA 2022,1,14.336,3,0.6666666666666666,2
147,ECOA 2022,1,8.441,3,0.6666666666666666,2
148,ECOA 2022,1,15.422,4,0.75,3
149,ECOA 2022,1,21.734,3,0.6666666666666666,2
150,ECOA 2022,0,26.787,4,1,4
151,ECOA 2022,3,47.705,5,0.4,2
152,ECOA 2022,4,62.516,7,0.42857142857142855,3
153,ECOA 2022,1,3.178,1,0,0
154,ECOA 2022,0,14.195,3,1,3
155,ECOA 2022,1,18.798,3,0.6666666666666666,2
157,ECOA 2022,3,58.816,5,0.4,2
158,ECOA 2022,7,1211.277,11,0.36363636363636365,4
159,ECOA 2022,8,1854.684,13,0.38461538461538464,5
160,ECOA 2022,9,2383.977,14,0.35714285714285715,5
161,ECOA 2022,1,2938.869,1,0,0
163,ECOA 2022,3,2119.688,11,0.7272727272727273,8
164,ECOA 2022,0,104.086,6,1,6
165,ECOA 2022,1,31.056,5,0.8,4
166,ECOA 2022,1,21.144,2,0.5,1
167,ECOA 2022,1,10.846,2,0.5,1
168,ECOA 2022,2,18.294,2,0,0
169,ECOA 2022,0,20.929,3,1,3
171,ECOA 2022,0,49.167,4,1,4
172,ECOA 2022,1,238.331,7,0.8571428571428571,6
174,ECOA 2022,0,671.779,12,1,12
175,ECOA 2022,5,3001.319,11,0.5454545454545454,6
176,ECOA 2022,8,2468.832,15,0.4666666666666667,7
177,ECOA 2022,0,809.331,11,1,11
178,ECOA 2022,1,362.406,9,0.8888888888888888,8
179,ECOA 2022,5,256.022,7,0.2857142857142857,2
180,ECOA 2022,2,37.155,5,0.6,3
181,ECOA 2022,1,24.703,4,0.75,3
182,ECOA 2022,1,19.098,4,0.75,3
183,ECOA 2022,1,10.216,1,0,0
184,ECOA 2022,1,12.645,3,0.6666666666666666,2
185,ECOA 2022,1,13.337,4,0.75,3
186,ECOA 2022,4,15.504,9,0.5555555555555556,5
187,ECOA 2022,0,5.424,2,1,2
188,ECOA 2022,2,22.693,3,0.3333333333333333,1
189,ECOA 2022,1,29.897,4,0.75,3
190,ECOA 2022,2,33.7,4,0.5,2
191,ECOA 2022,0,116.348,6,1,6
194,ECOA 2022,2,795.779,12,0.8333333333333334,10
195,ECOA 2022,6,808.875,11,0.45454545454545453,5
196,ECOA 2022,1,804.075,11,0.9090909090909091,10
197,ECOA 2022,4,827.374,13,0.6923076923076923,9
198,ECOA 2022,11,3627.395,19,0.42105263157894735,8
199,ECOA 2022,3,4968.313,8,0.625,5
200,ECOA 2022,3,1391.367,15,0.8,12
201,ECOA 2022,2,884.422,12,0.8333333333333334,10
202,ECOA 2022,6,857.554,13,0.5384615384615384,7
203,ECOA 2022,6,789.677,13,0.5384615384615384,7
204,ECOA 2022,9,773.908,13,0.3076923076923077,4
205,ECOA 2022,1,492.686,10,0.9,9
206,ECOA 2022,0,228.681,8,1,8
207,ECOA 2022,2,58.008,4,0.5,2
210,ECOA 2022,0,65.023,7,1,7
211,ECOA 2022,2,162.748,9,0.7777777777777778,7
212,ECOA 2022,3,265.61,11,0.7272727272727273,8
213,ECOA 2022,4,383.672,11,0.6363636363636364,7
214,ECOA 2022,3,612.468,12,0.75,9
215,ECOA 2022,11,853.736,15,0.26666666666666666,4
216,ECOA 2022,8,543.009,11,0.2727272727272727,3
217,ECOA 2022,3,323.505,9,0.6666666666666666,6
218,ECOA 2022,2,38.331,6,0.6666666666666666,4
219,ECOA 2022,3,34.175,5,0.4,2
221,ECOA 2022,2,22.21,4,0.5,2
